text1,text2,clean_text1,clean_text2,label,similarity_score
Regular physical exercise reduces the risk of cardiovascular disease.,Regular physical widely exercise reduces the risk of cardiovascular disease.,regular physical exercise reduces risk cardiovascular disease,regular physical widely exercise reduces risk cardiovascular disease,1,0.95
Edge computing processes data closer to the source rather than in centralised servers.,Baking is a precise science requiring exact measurements and temperatures.,edge computing processes data closer source rather centralised servers,baking precise science requiring exact measurements temperatures,0,0.04
Machine learning enables computers to learn from data without being explicitly programmed.,Machine learning allows computers to learn from data without being explicitly programmed.,machine learning enables computers learn data without explicitly programmed,machine learning allows computers learn data without explicitly programmed,1,0.84
Venture capital provides funding to early-stage startups with high growth potential.,Venture capital offers funding to early-stage startups with high growth potential.,venture capital provides funding earlystage startups high growth potential,venture capital offers funding earlystage startups high growth potential,1,0.81
Sustainable agriculture practices help maintain soil health and reduce emissions.,Sustainable agriculture practices help maintain soil health and reduce emissions.,sustainable agriculture practices help maintain soil health reduce emissions,sustainable agriculture practices help maintain soil health reduce emissions,1,0.83
Bilingual education supports cognitive flexibility and academic achievement.,Bilingual education supports cognitive flexibility and and this has significant implications for modern research.,bilingual education supports cognitive flexibility academic achievement,bilingual education supports cognitive flexibility significant implications modern research,1,0.66
Neurons communicate through electrical impulses and chemical neurotransmitters.,The detective uncovered the key evidence buried beneath the old mansion.,neurons communicate electrical impulses chemical neurotransmitters,detective uncovered key evidence buried beneath old mansion,0,0.02
Special educational needs require tailored support and inclusive classroom environments.,Heritage sites designated by UNESCO receive international protection and funding.,special educational needs require tailored support inclusive classroom environments,heritage sites designated unesco receive international protection funding,0,0.04
Type 2 diabetes is closely linked to obesity and physical inactivity.,Type 2 diabetes is closely linked to obesity and physical inactivity.,type diabetes closely linked obesity physical inactivity,type diabetes closely linked obesity physical inactivity,1,0.91
Free trade agreements reduce tariffs and barriers between participating countries.,Free trade agreements reduce tariffs and barriers between participating countries.,free trade agreements reduce tariffs barriers participating countries,free trade agreements reduce tariffs barriers participating countries,1,0.74
Renewable energy sources such as solar and wind produce no direct emissions.,Renewable energy sources including solar and wind produce no direct emissions.,renewable energy sources solar wind produce direct emissions,renewable energy sources including solar wind produce direct emissions,1,0.89
Access to quality education remains unequal across socioeconomic groups globally.,Access to quality education remains unequal across socioeconomic groups globally.,access quality education remains unequal across socioeconomic groups globally,access quality education remains unequal across socioeconomic groups globally,1,0.83
Supply and demand determine the equilibrium price in a free market.,Research indicates that supply and demand determine the equilibrium price in a free market.,supply demand determine equilibrium price free market,research indicates supply demand determine equilibrium price free market,1,0.77
Cryptography secures communications through mathematical algorithms and keys.,"According to established theory, cryptography secures communications through mathematical algorithms and keys.",cryptography secures communications mathematical algorithms keys,according established theory cryptography secures communications mathematical algorithms keys,1,0.64
The Roman Empire fell in 476 AD when the last emperor was deposed.,The Roman Empire fell in 476 AD when the last emperor was deposed.,roman empire fell 476 ad last emperor deposed,roman empire fell 476 ad last emperor deposed,1,0.76
The immune system uses antibodies to neutralise foreign pathogens.,antibodies to neutralise foreign pathogens. The immune system uses,immune system uses antibodies neutralise foreign pathogens,antibodies neutralise foreign pathogens immune system uses,1,0.68
Comparative advantage explains why countries specialise in producing certain goods.,Comparative advantage explains why countries specialise in producing certain goods.,comparative advantage explains countries specialise producing certain goods,comparative advantage explains countries specialise producing certain goods,1,0.75
The printing press was invented by Johannes Gutenberg around 1440.,The printing press was invented by Johannes Gutenberg around 1440.,printing press invented johannes gutenberg around 1440,printing press invented johannes gutenberg around 1440,1,0.78
Water scarcity affects over two billion people around the world.,Water commonly scarcity affects over two billion people around the world.,water scarcity affects two billion people around world,water commonly scarcity affects two billion people around world,1,0.97
Sustainable agriculture practices help maintain soil health and reduce emissions.,Sustainable largely agriculture practices help maintain soil health and reduce emissions.,sustainable agriculture practices help maintain soil health reduce emissions,sustainable largely agriculture practices help maintain soil health reduce emissions,1,0.91
Zero-trust security assumes no user or device is trusted by default.,or device is trusted by default. Zero-trust security assumes no user,zerotrust security assumes user device trusted default,device trusted default zerotrust security assumes user,1,0.68
Inflation reduces the purchasing power of money over time.,The literature confirms that inflation reduces the purchasing power of money over time.,inflation reduces purchasing power money time,literature confirms inflation reduces purchasing power money time,1,0.62
The Earth's core is composed primarily of iron and nickel.,Scholars generally agree that the Earth's core is composed primarily of iron and nickel.,earths core composed primarily iron nickel,scholars generally agree earths core composed primarily iron nickel,1,0.6
Inflation reduces the purchasing power of money over time.,Inflation reduces the purchasing power of and this has significant implications for modern research.,inflation reduces purchasing power money time,inflation reduces purchasing power significant implications modern research,1,0.6
Cloud computing delivers computing services over the internet on a pay-as-you-go basis.,Cloud computing delivers computing services over the internet on a pay-as-you-go basis.,cloud computing delivers computing services internet payasyougo basis,cloud computing delivers computing services internet payasyougo basis,1,0.82
The human brain contains approximately 86 billion neurons.,The literature confirms that the human brain contains approximately 86 billion neurons.,human brain contains approximately 86 billion neurons,literature confirms human brain contains approximately 86 billion neurons,1,0.64
Growth mindset theory suggests that intelligence can be developed through effort.,Growth mindset theory suggests that intelligence can be developed via effort.,growth mindset theory suggests intelligence developed effort,growth mindset theory suggests intelligence developed via effort,1,0.76
The Phillips curve describes the inverse relationship between inflation and unemployment.,Evidence suggests that the Phillips curve describes the inverse relationship between inflation and unemployment.,phillips curve describes inverse relationship inflation unemployment,evidence suggests phillips curve describes inverse relationship inflation unemployment,1,0.73
Mahatma Gandhi led India's independence movement using non-violent civil disobedience.,Mahatma Gandhi led India's independence movement using non-violent widely civil disobedience.,mahatma gandhi led indias independence movement using nonviolent civil disobedience,mahatma gandhi led indias independence movement using nonviolent widely civil disobedience,1,0.89
Evolution occurs through natural selection acting on genetic variation.,Olympic Games bring together athletes from over 200 countries every four years.,evolution occurs natural selection acting genetic variation,olympic games bring together athletes 200 countries every four years,0,0.01
Latency refers to the delay between a request and the corresponding response.,Latency refers to the delay between largely a request and the corresponding response.,latency refers delay request corresponding response,latency refers delay largely request corresponding response,1,0.81
Edge computing processes data closer to the source rather than in centralised servers.,Edge computing processes data closer to the source rather than in centralised servers.,edge computing processes data closer source rather centralised servers,edge computing processes data closer source rather centralised servers,1,0.64
Newton's third law states that every action has an equal and opposite reaction.,Scholars generally agree that newton's third law states that every action has an equal and opposite reaction.,newtons third law states every action equal opposite reaction,scholars generally agree newtons third law states every action equal opposite reaction,1,0.65
Adequate hydration is essential for kidney function and overall metabolism.,Adequate frequently hydration is essential for kidney function and overall metabolism.,adequate hydration essential kidney function overall metabolism,adequate frequently hydration essential kidney function overall metabolism,1,0.97
The Milky Way is a barred spiral galaxy containing over 200 billion stars.,The Milky Way is a barred spiral galaxy containing over 200 billion stars.,milky way barred spiral galaxy containing 200 billion stars,milky way barred spiral galaxy containing 200 billion stars,1,0.92
Consumer price index tracks changes in the price level of a basket of goods.,"According to established theory, consumer price index tracks changes in the price level of a basket of goods.",consumer price index tracks changes price level basket goods,according established theory consumer price index tracks changes price level basket goods,1,0.73
Environmental impact assessments evaluate the effects of development projects.,Environmental impact assessments evaluate the effects of development projects.,environmental impact assessments evaluate effects development projects,environmental impact assessments evaluate effects development projects,1,0.81
Sleep deprivation impairs cognitive function and increases risk of chronic disease.,Backpacking across Southeast Asia has become popular among budget travellers.,sleep deprivation impairs cognitive function increases risk chronic disease,backpacking across southeast asia become popular among budget travellers,0,0.07
The Industrial Revolution transformed manufacturing in Britain in the 18th century.,The Industrial Revolution transformed manufacturing in Britain in the 18th century.,industrial revolution transformed manufacturing britain 18th century,industrial revolution transformed manufacturing britain 18th century,1,0.69
The nitrogen cycle is disrupted by excessive fertiliser use in agriculture.,The nitrogen cycle is disrupted by and this has significant implications for modern research.,nitrogen cycle disrupted excessive fertiliser use agriculture,nitrogen cycle disrupted significant implications modern research,1,0.6
API gateways manage and route requests between clients and backend services.,API gateways manage and route requests and this has significant implications for modern research.,api gateways manage route requests clients backend services,api gateways manage route requests significant implications modern research,1,0.66
Ecological restoration projects aim to rebuild degraded natural habitats.,to rebuild degraded natural habitats. Ecological restoration projects aim,ecological restoration projects aim rebuild degraded natural habitats,rebuild degraded natural habitats ecological restoration projects aim,1,0.76
Free trade agreements reduce tariffs and barriers between participating countries.,Free trade agreements reduce tariffs and and this has significant implications for modern research.,free trade agreements reduce tariffs barriers participating countries,free trade agreements reduce tariffs significant implications modern research,1,0.59
Opportunity cost is the value of the next best alternative foregone.,Studies have shown that opportunity cost is the value of the next best alternative foregone.,opportunity cost value next best alternative foregone,studies shown opportunity cost value next best alternative foregone,1,0.76
The human brain contains approximately 86 billion neurons.,Baking is a precise science requiring exact measurements and temperatures.,human brain contains approximately 86 billion neurons,baking precise science requiring exact measurements temperatures,0,0.02
Hydroelectric power generates electricity from the kinetic energy of flowing water.,the kinetic energy of flowing water. Hydroelectric power generates electricity from,hydroelectric power generates electricity kinetic energy flowing water,kinetic energy flowing water hydroelectric power generates electricity,1,0.75
Serverless computing allows developers to run code without managing infrastructure.,"Theatre production involves directing, acting, set design, and lighting.",serverless computing allows developers run code without managing infrastructure,theatre production involves directing acting set design lighting,0,0.07
Antibiotics work by inhibiting bacterial cell wall synthesis.,Antibiotics work by inhibiting bacterial cell wall synthesis.,antibiotics work inhibiting bacterial cell wall synthesis,antibiotics work inhibiting bacterial cell wall synthesis,1,0.73
Evolution occurs through natural selection acting on genetic variation.,Hostels offer affordable shared accommodation popular with young travellers.,evolution occurs natural selection acting genetic variation,hostels offer affordable shared accommodation popular young travellers,0,0.07
Social-emotional learning teaches students to manage emotions and build relationships.,Social-emotional typically learning teaches students to manage emotions and build relationships.,socialemotional learning teaches students manage emotions build relationships,socialemotional typically learning teaches students manage emotions build relationships,1,0.98
The Aztec Empire was conquered by Spanish forces led by Hernando Cortes in 1521.,The Aztec Empire was conquered by Spanish forces led by Hernando Cortes in 1521.,aztec empire conquered spanish forces led hernando cortes 1521,aztec empire conquered spanish forces led hernando cortes 1521,1,0.88
Inflation reduces the purchasing power of money over time.,Inflation reduces the purchasing power of money over time.,inflation reduces purchasing power money time,inflation reduces purchasing power money time,1,0.77
Black holes are regions of spacetime where gravity is so strong that nothing can escape.,Travel insurance protects against unexpected cancellations and medical emergencies.,black holes regions spacetime gravity strong nothing escape,travel insurance protects unexpected cancellations medical emergencies,0,0.07
Enzymes are biological catalysts that speed up chemical reactions in the body.,Enzymes are biological catalysts that speed which is a key concept in this domain.,enzymes biological catalysts speed chemical reactions body,enzymes biological catalysts speed key concept domain,1,0.5
Version control systems track changes to code and facilitate team collaboration.,to code and facilitate team collaboration. Version control systems track changes,version control systems track changes code facilitate team collaboration,code facilitate team collaboration version control systems track changes,1,0.83
The Aztec Empire was conquered by Spanish forces led by Hernando Cortes in 1521.,forces led by Hernando Cortes in 1521. The Aztec Empire was conquered by Spanish,aztec empire conquered spanish forces led hernando cortes 1521,forces led hernando cortes 1521 aztec empire conquered spanish,1,0.8
Neurons communicate through electrical impulses and chemical neurotransmitters.,The Tour de France is the most prestigious cycling race in the world.,neurons communicate electrical impulses chemical neurotransmitters,tour de france prestigious cycling race world,0,0.02
Quantum computing uses quantum mechanical phenomena to perform computations.,mechanical phenomena to perform computations. Quantum computing uses quantum,quantum computing uses quantum mechanical phenomena perform computations,mechanical phenomena perform computations quantum computing uses quantum,1,0.7
The balance of payments records all economic transactions between countries.,The balance of payments records all economic transactions between countries.,balance payments records economic transactions countries,balance payments records economic transactions countries,1,0.82
5G networks offer significantly faster data speeds and lower latency than 4G.,It has been established that 5G networks offer significantly faster data speeds and lower latency than 4G.,5g networks offer significantly faster data speeds lower latency 4g,established 5g networks offer significantly faster data speeds lower latency 4g,1,0.76
Machine learning enables computers to learn from data without being explicitly programmed.,Street food markets offer affordable and diverse culinary experiences globally.,machine learning enables computers learn data without explicitly programmed,street food markets offer affordable diverse culinary experiences globally,0,0.06
Physical rehabilitation helps patients regain function after injury or surgery.,Physical rehabilitation helps patients regain function and related phenomena have been widely observed.,physical rehabilitation helps patients regain function injury surgery,physical rehabilitation helps patients regain function related phenomena widely observed,1,0.64
Latency refers to the delay between a request and the corresponding response.,The literature confirms that latency refers to the delay between a request and the corresponding response.,latency refers delay request corresponding response,literature confirms latency refers delay request corresponding response,1,0.76
Regular health screenings enable early identification of chronic conditions.,Regular health screenings enable early identification of chronic conditions.,regular health screenings enable early identification chronic conditions,regular health screenings enable early identification chronic conditions,1,0.78
Transfer learning adapts a pre-trained model to a new but related task.,Basketball was invented by James Naismith in 1891 using a peach basket.,transfer learning adapts pretrained model new related task,basketball invented james naismith 1891 using peach basket,0,0.03
"Globalisation has increased trade, investment, and cultural exchange worldwide.","Globalisation has increased trade, investment, and cultural exchange worldwide.",globalisation increased trade investment cultural exchange worldwide,globalisation increased trade investment cultural exchange worldwide,1,0.83
Gamification uses game design elements to increase motivation in learning.,Gamification uses game design elements to increase motivation in learning.,gamification uses game design elements increase motivation learning,gamification uses game design elements increase motivation learning,1,0.87
"Globalisation has increased trade, investment, and cultural exchange worldwide.","Globalisation has increased trade, investment, and cultural exchange worldwide.",globalisation increased trade investment cultural exchange worldwide,globalisation increased trade investment cultural exchange worldwide,1,0.86
Evolution occurs through natural selection acting on genetic variation.,"Carpentry requires skill in measuring, cutting, and joining wooden materials.",evolution occurs natural selection acting genetic variation,carpentry requires skill measuring cutting joining wooden materials,0,0.05
Plate tectonics explains the movement of Earth's lithospheric plates.,Travel insurance protects against unexpected cancellations and medical emergencies.,plate tectonics explains movement earths lithospheric plates,travel insurance protects unexpected cancellations medical emergencies,0,0.02
Bilingual education supports cognitive flexibility and academic achievement.,Bilingual education supports cognitive flexibility and academic achievement. This has been well established in the field.,bilingual education supports cognitive flexibility academic achievement,bilingual education supports cognitive flexibility academic achievement well established field,1,0.79
The Byzantine Empire was the continuation of the eastern Roman Empire for over a millennium.,The Byzantine Empire was the continuation of as has been documented extensively in scientific literature.,byzantine empire continuation eastern roman empire millennium,byzantine empire continuation documented extensively scientific literature,1,0.59
The Paris Agreement aims to limit global warming to 1.5 degrees Celsius.,"According to established theory, the Paris Agreement aims to limit global warming to 1.5 degrees Celsius.",paris agreement aims limit global warming 15 degrees celsius,according established theory paris agreement aims limit global warming 15 degrees celsius,1,0.65
Electromagnetic radiation travels in waves and includes visible light and X-rays.,It has been established that electromagnetic radiation travels in waves and includes visible light and X-rays.,electromagnetic radiation travels waves includes visible light xrays,established electromagnetic radiation travels waves includes visible light xrays,1,0.68
DNA carries the genetic information of all living organisms.,Cricket is the most popular sport on the Indian subcontinent by viewership.,dna carries genetic information living organisms,cricket popular sport indian subcontinent viewership,0,0.02
Mentoring programmes significantly improve retention and completion rates.,Mentoring programmes considerably improve retention and completion rates.,mentoring programmes significantly improve retention completion rates,mentoring programmes considerably improve retention completion rates,1,0.77
Access to quality education remains unequal across socioeconomic groups globally.,Access to quality education remains unequal as has been documented extensively in scientific literature.,access quality education remains unequal across socioeconomic groups globally,access quality education remains unequal documented extensively scientific literature,1,0.51
The ozone layer absorbs most of the sun ultraviolet radiation.,Cruise ships carry thousands of passengers across oceans to multiple destinations.,ozone layer absorbs sun ultraviolet radiation,cruise ships carry thousands passengers across oceans multiple destinations,0,0.01
The League of Nations was established after World War I as an intergovernmental organisation.,The League of Nations was established after World War I as an intergovernmental organisation.,league nations established world war intergovernmental organisation,league nations established world war intergovernmental organisation,1,0.85
"Globalisation has increased trade, investment, and cultural exchange worldwide.","And cultural exchange worldwide., globalisation has increased trade, investment.",globalisation increased trade investment cultural exchange worldwide,cultural exchange worldwide globalisation increased trade investment,1,0.73
DNA carries the genetic information of all living organisms.,Impressionist painters sought to capture fleeting moments of light and colour.,dna carries genetic information living organisms,impressionist painters sought capture fleeting moments light colour,0,0.02
Wildfires are becoming more frequent and intense due to climate change.,Wildfires are becoming more frequent and intense because of climate change.,wildfires becoming frequent intense due climate change,wildfires becoming frequent intense climate change,1,0.92
Biodiversity refers to the variety of life forms found within a given ecosystem.,Biodiversity is defined as the variety of life forms found within a given ecosystem.,biodiversity refers variety life forms found within given ecosystem,biodiversity defined variety life forms found within given ecosystem,1,0.85
Serverless computing allows developers to run code without managing infrastructure.,Scholars generally agree that serverless computing allows developers to run code without managing infrastructure.,serverless computing allows developers run code without managing infrastructure,scholars generally agree serverless computing allows developers run code without managing infrastructure,1,0.75
The law of conservation of energy states that energy cannot be created or destroyed.,The literature confirms that the law of conservation of energy states that energy cannot be created or destroyed.,law conservation energy states energy cannot created destroyed,literature confirms law conservation energy states energy cannot created destroyed,1,0.73
The Phillips curve describes the inverse relationship between inflation and unemployment.,The often Phillips curve describes the inverse relationship between inflation and unemployment.,phillips curve describes inverse relationship inflation unemployment,often phillips curve describes inverse relationship inflation unemployment,1,0.92
Formative assessment provides ongoing feedback to guide student learning.,Formative assessment offers ongoing feedback to guide student learning.,formative assessment provides ongoing feedback guide student learning,formative assessment offers ongoing feedback guide student learning,1,0.83
The nervous system coordinates voluntary and involuntary actions of the body.,The nervous system coordinates voluntary and involuntary actions of the body.,nervous system coordinates voluntary involuntary actions body,nervous system coordinates voluntary involuntary actions body,1,0.75
Antibiotics work by inhibiting bacterial cell wall synthesis.,The football team won the championship after a dramatic penalty shootout.,antibiotics work inhibiting bacterial cell wall synthesis,football team championship dramatic penalty shootout,0,0.04
Hypertension affects approximately one in three adults worldwide.,Hypertension affects approximately one in three adults worldwide. This has been well established in the field.,hypertension affects approximately one three adults worldwide,hypertension affects approximately one three adults worldwide well established field,1,0.77
Cloud computing delivers computing services over the internet on a pay-as-you-go basis.,Cloud computing delivers computing services over the internet on a pay-as-you-go basis.,cloud computing delivers computing services internet payasyougo basis,cloud computing delivers computing services internet payasyougo basis,1,0.72
Noise pollution from traffic and industry harms both human health and wildlife.,Research indicates that noise pollution from traffic and industry harms both human health and wildlife.,noise pollution traffic industry harms human health wildlife,research indicates noise pollution traffic industry harms human health wildlife,1,0.72
Sustainable agriculture practices help maintain soil health and reduce emissions.,Sustainable agriculture clearly practices help maintain soil health and reduce emissions.,sustainable agriculture practices help maintain soil health reduce emissions,sustainable agriculture clearly practices help maintain soil health reduce emissions,1,0.77
Monetary policy controls the money supply to achieve macroeconomic objectives.,supply to achieve macroeconomic objectives. Monetary policy controls the money,monetary policy controls money supply achieve macroeconomic objectives,supply achieve macroeconomic objectives monetary policy controls money,1,0.68
The transatlantic slave trade forcibly transported millions of Africans to the Americas.,The transatlantic slave trade forcibly transported as has been documented extensively in scientific literature.,transatlantic slave trade forcibly transported millions africans americas,transatlantic slave trade forcibly transported documented extensively scientific literature,1,0.72
Biodiversity refers to the variety of life forms found within a given ecosystem.,life forms found within a given ecosystem. Biodiversity refers to the variety of,biodiversity refers variety life forms found within given ecosystem,life forms found within given ecosystem biodiversity refers variety,1,0.92
Biofuels derived from crops can replace fossil fuels but compete with food production.,Biofuels derived from crops can replace fossil fuels but compete with frequently food production.,biofuels derived crops replace fossil fuels compete food production,biofuels derived crops replace fossil fuels compete frequently food production,1,0.81
Napoleon Bonaparte rose to power during the French Revolution and became Emperor.,Napoleon Bonaparte rose to power during and further study continues to refine our understanding.,napoleon bonaparte rose power french revolution became emperor,napoleon bonaparte rose power study continues refine understanding,1,0.64
Plate tectonics explains the movement of Earth lithospheric plates.,Impressionist painters sought to capture fleeting moments of light and colour.,plate tectonics explains movement earth lithospheric plates,impressionist painters sought capture fleeting moments light colour,0,0.07
"The speed of light in a vacuum is approximately 299,792 kilometres per second.","The speed of light in a vacuum is about 299,792 kilometres per second.",speed light vacuum approximately 299792 kilometres per second,speed light vacuum 299792 kilometres per second,1,0.81
"Globalisation has increased trade, investment, and cultural exchange worldwide.","Globalisation has increased trade, investment, and cultural exchange worldwide.",globalisation increased trade investment cultural exchange worldwide,globalisation increased trade investment cultural exchange worldwide,1,0.86
Blended learning combines face-to-face instruction with online activities.,Blended learning combines face-to-face instruction with online activities. This has been well established in the field.,blended learning combines facetoface instruction online activities,blended learning combines facetoface instruction online activities well established field,1,0.78
Evolution occurs through natural selection acting on genetic variation.,Photography transformed how humans document and interpret reality.,evolution occurs natural selection acting genetic variation,photography transformed humans document interpret reality,0,0.02
RNA plays a critical role in translating genetic information into proteins.,Evidence suggests that rNA plays a critical role in translating genetic information into proteins.,rna plays critical role translating genetic information proteins,evidence suggests rna plays critical role translating genetic information proteins,1,0.65
Consumer price index tracks changes in the price level of a basket of goods.,Travel insurance protects against unexpected cancellations and medical emergencies.,consumer price index tracks changes price level basket goods,travel insurance protects unexpected cancellations medical emergencies,0,0.02
Vitamin D deficiency is linked to bone weakness and immune dysfunction.,Vitamin D deficiency is linked to bone weakness and immune dysfunction.,vitamin deficiency linked bone weakness immune dysfunction,vitamin deficiency linked bone weakness immune dysfunction,1,0.83
Invasive species disrupt native ecosystems and cause economic damage.,Invasive species disrupt native ecosystems and cause economic damage.,invasive species disrupt native ecosystems cause economic damage,invasive species disrupt native ecosystems cause economic damage,1,0.82
"The human development index measures a country's health, education, and income.","It has been established that the human development index measures a country's health, education, and income.",human development index measures countrys health education income,established human development index measures countrys health education income,1,0.61
Food waste contributes significantly to greenhouse gas emissions globally.,Baking is a precise science requiring exact measurements and temperatures.,food waste contributes significantly greenhouse gas emissions globally,baking precise science requiring exact measurements temperatures,0,0.01
Version control systems track changes to code and facilitate team collaboration.,Sculpture uses three-dimensional form to convey meaning and emotion.,version control systems track changes code facilitate team collaboration,sculpture uses threedimensional form convey meaning emotion,0,0.02
Tidal forces are caused by the gravitational pull of the moon and sun on Earth.,Tidal forces are caused by the gravitational pull of the moon and sun on Earth.,tidal forces caused gravitational pull moon sun earth,tidal forces caused gravitational pull moon sun earth,1,0.63
Project-based learning encourages students to solve real-world problems collaboratively.,to solve real-world problems collaboratively. Project-based learning encourages students,projectbased learning encourages students solve realworld problems collaboratively,solve realworld problems collaboratively projectbased learning encourages students,1,0.7
Neurons communicate through electrical impulses and chemical neurotransmitters.,Basketball was invented by James Naismith in 1891 using a peach basket.,neurons communicate electrical impulses chemical neurotransmitters,basketball invented james naismith 1891 using peach basket,0,0.07
The Aztec Empire was conquered by Spanish forces led by Hernando Cortes in 1521.,The Aztec Empire was conquered by Spanish forces led by Hernando Cortes in 1521.,aztec empire conquered spanish forces led hernando cortes 1521,aztec empire conquered spanish forces led hernando cortes 1521,1,0.73
Robotic process automation uses software robots to automate repetitive tasks.,Robotic process automation uses software robots to automate repetitive tasks.,robotic process automation uses software robots automate repetitive tasks,robotic process automation uses software robots automate repetitive tasks,1,0.86
The stock market reflects investor sentiment and expectations about future earnings.,sentiment and expectations about future earnings. The stock market reflects investor,stock market reflects investor sentiment expectations future earnings,sentiment expectations future earnings stock market reflects investor,1,0.65
Invasive species disrupt native ecosystems and cause economic damage.,Airport security screening has become more sophisticated since the early 2000s.,invasive species disrupt native ecosystems cause economic damage,airport security screening become sophisticated since early 2000s,0,0.07
Physical rehabilitation helps patients regain function after injury or surgery.,function after injury or surgery. Physical rehabilitation helps patients regain,physical rehabilitation helps patients regain function injury surgery,function injury surgery physical rehabilitation helps patients regain,1,0.73
The Renaissance was a cultural movement that originated in 14th century Italy.,The Renaissance was a cultural movement that originated in 14th century Italy.,renaissance cultural movement originated 14th century italy,renaissance cultural movement originated 14th century italy,1,0.74
The water cycle describes the continuous movement of water through the environment.,Amateur astronomy allows enthusiasts to observe planets and deep-sky objects.,water cycle describes continuous movement water environment,amateur astronomy allows enthusiasts observe planets deepsky objects,0,0.05
Free trade agreements reduce tariffs and barriers between participating countries.,and barriers between participating countries. Free trade agreements reduce tariffs,free trade agreements reduce tariffs barriers participating countries,barriers participating countries free trade agreements reduce tariffs,1,0.78
Plastic pollution has contaminated oceans and freshwater systems globally.,Plastic pollution has contaminated oceans and freshwater frequently systems globally.,plastic pollution contaminated oceans freshwater systems globally,plastic pollution contaminated oceans freshwater frequently systems globally,1,0.69
Overfitting occurs when a model learns noise in the training data rather than patterns.,in the training data rather than patterns. Overfitting occurs when a model learns noise,overfitting occurs model learns noise training data rather patterns,training data rather patterns overfitting occurs model learns noise,1,0.83
The Space Race between the USA and USSR culminated in the Apollo 11 moon landing in 1969.,The Space Race between the USA and USSR culminated in the Apollo 11 moon landing in 1969.,space race usa ussr culminated apollo 11 moon landing 1969,space race usa ussr culminated apollo 11 moon landing 1969,1,0.9
Convolutional neural networks are especially effective for image recognition tasks.,effective for image recognition tasks. Convolutional neural networks are especially,convolutional neural networks especially effective image recognition tasks,effective image recognition tasks convolutional neural networks especially,1,0.81
The Internet of Things connects everyday devices to the internet for data exchange.,devices to the internet for data exchange. The Internet of Things connects everyday,internet things connects everyday devices internet data exchange,devices internet data exchange internet things connects everyday,1,0.66
Evolution occurs through natural selection acting on genetic variation.,The Tour de France is the most prestigious cycling race in the world.,evolution occurs natural selection acting genetic variation,tour de france prestigious cycling race world,0,0.08
Regular physical exercise reduces the risk of cardiovascular disease.,Studies have shown that regular physical exercise reduces the risk of cardiovascular disease.,regular physical exercise reduces risk cardiovascular disease,studies shown regular physical exercise reduces risk cardiovascular disease,1,0.74
"The human development index measures a country's health, education, and income.",The human development index measures a and further study continues to refine our understanding.,human development index measures countrys health education income,human development index measures study continues refine understanding,1,0.6
Quantum computing uses quantum mechanical phenomena to perform computations.,Quantum computing uses quantum mechanical phenomena to perform computations.,quantum computing uses quantum mechanical phenomena perform computations,quantum computing uses quantum mechanical phenomena perform computations,1,0.89
Carbon capture technology removes CO2 from the atmosphere to reduce warming.,Carbon capture technology removes CO2 from which is a key concept in this domain.,carbon capture technology removes co2 atmosphere reduce warming,carbon capture technology removes co2 key concept domain,1,0.64
Osmosis is the movement of water across a semi-permeable membrane.,Osmosis is the movement often of water across a semi-permeable membrane.,osmosis movement water across semipermeable membrane,osmosis movement often water across semipermeable membrane,1,0.85
Carbon capture technology removes CO2 from the atmosphere to reduce warming.,Carbon capture technology removes CO2 from the atmosphere to reduce warming.,carbon capture technology removes co2 atmosphere reduce warming,carbon capture technology removes co2 atmosphere reduce warming,1,0.83
Project-based learning encourages students to solve real-world problems collaboratively.,Project-based learning commonly encourages students to solve real-world problems collaboratively.,projectbased learning encourages students solve realworld problems collaboratively,projectbased learning commonly encourages students solve realworld problems collaboratively,1,0.95
The Magna Carta was signed in 1215 and limited the power of the English monarch.,Research indicates that the Magna Carta was signed in 1215 and limited the power of the English monarch.,magna carta signed 1215 limited power english monarch,research indicates magna carta signed 1215 limited power english monarch,1,0.68
"The human development index measures a country's health, education, and income.",The human development index measures a as has been documented extensively in scientific literature.,human development index measures countrys health education income,human development index measures documented extensively scientific literature,1,0.65
"Stagflation is the combination of stagnant growth, high unemployment, and inflation.",Cruise ships carry thousands of passengers across oceans to multiple destinations.,stagflation combination stagnant growth high unemployment inflation,cruise ships carry thousands passengers across oceans multiple destinations,0,0.07
API gateways manage and route requests between clients and backend services.,requests between clients and backend services. API gateways manage and route,api gateways manage route requests clients backend services,requests clients backend services api gateways manage route,1,0.79
The law of conservation of energy states that energy cannot be created or destroyed.,The law of conservation of energy states that energy cannot be created or destroyed.,law conservation energy states energy cannot created destroyed,law conservation energy states energy cannot created destroyed,1,0.88
Data augmentation artificially increases training data by applying transformations.,Data augmentation artificially increases training data by applying transformations.,data augmentation artificially increases training data applying transformations,data augmentation artificially increases training data applying transformations,1,0.85
Rising sea levels threaten low-lying coastal communities worldwide.,Rising sea levels threaten low-lying coastal communities worldwide.,rising sea levels threaten lowlying coastal communities worldwide,rising sea levels threaten lowlying coastal communities worldwide,1,0.86
Adequate hydration is essential for kidney function and overall metabolism.,Scholars generally agree that adequate hydration is essential for kidney function and overall metabolism.,adequate hydration essential kidney function overall metabolism,scholars generally agree adequate hydration essential kidney function overall metabolism,1,0.74
Computer vision allows machines to interpret and understand visual information.,Computer vision allows machines to interpret and often understand visual information.,computer vision allows machines interpret understand visual information,computer vision allows machines interpret often understand visual information,1,0.61
